Player,#,Nation,Pos,Age,Min,Touches▼,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Sergi Roberto\Sergi-Roberto,20,es ESP,RB,28-240,90,93,3,33,39,24,3,82,0,0,,0,0,63,277,190,5,0,0,2,0,69,68,98.6,6
Sergio Busquets\Sergio-Busquets,5,es ESP,CM,32-080,90,91,1,16,55,21,2,87,0,0,,0,0,53,119,63,3,0,1,3,0,77,74,96.1,7
Lionel Messi\Lionel-Messi,10,ar ARG,FW,33-102,90,79,0,3,50,35,6,70,2,3,66.7,2,0,60,366,221,14,7,2,0,3,87,69,79.3,4
Gerard Piqué\Gerard-Pique,3,es ESP,CB,33-245,90,79,16,45,40,0,0,75,0,0,,0,0,53,243,139,1,0,0,0,1,57,57,100.0,0
Ronald Araújo\Ronald-Araujo,30,uy URU,CB,21-211,90,67,12,34,36,0,0,65,0,0,,0,0,55,305,121,2,0,0,0,0,57,56,98.2,0
Frenkie de Jong\Frenkie-de-Jong,21,nl NED,CM,23-145,90,64,2,12,37,16,2,64,2,2,100.0,2,0,54,239,125,5,0,0,0,2,62,56,90.3,4
Jordi Alba\Jordi-Alba,18,es ESP,LB,31-197,74,59,2,23,27,16,0,54,0,0,,0,0,34,137,79,2,1,0,0,0,47,41,87.2,3
Neto\Neto,13,br BRA,GK,31-077,90,48,43,48,0,0,0,35,0,0,,0,0,28,64,36,0,0,0,0,1,30,30,100.0,0
Philippe Coutinho\Philippe-Coutinho,14,br BRA,AM,28-114,74,46,1,3,31,15,1,43,0,0,,0,0,34,163,114,7,2,0,0,1,45,39,86.7,4
Ansu Fati\Ansu-Fati,22,es ESP,LW,17-339,60,38,0,4,17,23,5,37,0,1,0.0,0,0,27,188,125,11,5,2,1,1,35,30,85.7,6
Francisco Trincão\Francisco-Trincao,17,pt POR,RW,20-280,30,24,0,2,14,10,4,24,0,1,0.0,0,0,19,100,67,4,1,2,1,1,25,23,92.0,4
Miralem Pjanić\Miralem-Pjanic,8,ba BIH,AM,30-185,16,20,0,8,7,7,0,19,0,0,,0,0,8,47,16,1,1,0,0,0,16,15,93.8,0
Antoine Griezmann\Antoine-Griezmann,7,fr FRA,RW,29-197,60,19,0,4,6,9,2,19,0,0,,0,0,15,52,37,3,0,0,1,0,27,17,63.0,4
Sergiño Dest\Sergino-Dest,2,us USA,LB,19-336,16,16,0,6,5,5,1,14,0,0,,0,0,8,36,11,1,0,1,1,0,12,11,91.7,1
Pedri\Pedri,16,es ESP,LW,17-314,30,15,1,2,8,8,0,15,1,1,100.0,1,0,12,96,57,3,2,0,1,1,9,8,88.9,1