,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
127,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,29-309,1991,4.1,3,1,1,2,0,0,1,0.0,1,14,3,21.4,7,7,0,3,2,0,1,0,3,12,1,Matches
128,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,24-124,1997,15.3,26,19,14,12,0,6,18,33.3,12,112,40,35.7,60,48,4,35,24,1,11,14,40,82,2,Matches
129,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,22-332,1998,12.8,43,20,23,11,9,16,50,32.0,34,306,86,28.1,110,114,82,26,0,0,26,10,53,15,0,Matches
130,Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,29-117,1992,12.7,18,6,5,8,5,10,29,34.5,19,165,32,19.4,67,66,32,36,5,0,31,14,32,47,0,Matches
131,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,23-145,1997,20.2,26,16,21,5,0,8,15,53.3,7,136,49,36.0,87,44,5,38,23,0,15,21,47,93,2,Matches
132,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,28-132,1993,23.7,47,34,27,14,6,13,40,32.5,27,456,127,27.9,194,181,81,36,9,0,27,28,75,28,1,Matches
133,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,32-118,1989,10.0,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches
134,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,29-229,1991,10.9,19,10,11,7,1,9,18,50.0,9,99,22,22.2,65,28,6,23,7,0,16,14,33,71,1,Matches
135,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,29-173,1991,31.6,32,18,21,9,2,12,22,54.5,10,180,68,37.8,95,73,12,37,22,1,15,29,61,123,2,Matches
136,Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,23-206,1997,2.0,1,1,1,0,0,1,1,100.0,0,13,7,53.8,8,4,1,4,3,0,1,0,1,7,0,Matches
137,Ederson\Ederson,br BRA,GK,Manchester City,27-269,1993,34.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,1,1,Matches
138,Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,23-085,1998,1.3,3,0,1,1,1,0,1,0.0,1,15,2,13.3,4,9,2,2,0,0,2,1,4,0,0,Matches
139,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,28-205,1992,26.2,42,26,31,10,1,16,32,50.0,16,225,71,31.6,140,80,5,47,26,1,21,33,75,130,1,Matches
140,Anthony Elanga\Anthony-Elanga,se SWE,FW,Manchester Utd,19-016,2002,0.7,0,0,0,0,0,0,0,,0,18,4,22.2,6,6,6,2,1,0,1,0,0,0,0,Matches
141,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,33-246,1987,7.8,14,10,8,3,3,5,8,62.5,3,60,22,36.7,30,22,8,11,2,0,9,22,36,25,0,Matches
142,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,28-306,1992,16.2,16,11,9,7,0,5,18,27.8,13,187,53,28.3,66,86,35,18,4,0,14,19,35,24,1,Matches
143,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,33-130,1988,27.5,21,12,17,3,1,10,21,47.6,11,168,66,39.3,112,53,3,27,6,0,21,41,62,146,0,Matches
144,Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,22-318,1998,27.4,37,21,18,13,6,14,36,38.9,22,307,89,29.0,85,156,66,31,3,0,28,29,66,6,0,Matches
145,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,36-025,1985,33.0,0,0,0,0,0,0,0,,0,9,2,22.2,9,0,0,3,0,0,3,0,0,1,1,Matches
146,Fabinho\Fabinho,br BRA,DFMF,Liverpool,27-202,1993,24.5,67,48,23,38,6,23,51,45.1,28,284,99,34.9,98,166,20,37,12,0,25,41,108,89,0,Matches
147,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,26-247,1994,32.4,57,37,19,24,14,17,85,20.0,68,666,165,24.8,108,324,234,40,1,0,39,19,76,26,0,Matches
148,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,32-081,1989,20.1,31,15,23,6,2,13,24,54.2,11,170,48,28.2,119,44,7,51,32,0,19,16,47,146,1,Matches
149,Fernandinho\Fernandinho,br BRA,MF,Manchester City,36-009,1985,11.8,28,19,6,15,7,11,35,31.4,24,198,67,33.8,41,126,31,9,0,0,9,23,51,31,0,Matches
150,Sam Field\Sam-Field,eng ENG,MF,West Brom,23-005,1998,0.7,9,7,4,5,0,2,3,66.7,1,22,10,45.5,8,13,1,6,1,0,5,0,9,4,0,Matches
151,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,29-223,1991,27.7,33,21,4,13,16,10,33,30.3,23,491,141,28.7,60,227,204,50,3,0,47,9,42,9,0,Matches
152,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,29-262,1991,25.6,40,22,22,14,4,12,57,21.1,45,472,117,24.8,166,227,79,36,5,0,31,33,73,17,1,Matches
153,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,20-350,2000,16.3,25,16,9,11,5,9,19,47.4,10,274,83,30.3,45,101,128,12,1,0,11,12,37,9,0,Matches
154,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,20-147,2000,23.9,60,40,36,23,1,17,32,53.1,15,230,80,34.8,124,98,8,45,19,0,26,49,109,121,0,Matches
155,Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,25-080,1996,25.6,36,24,13,17,6,7,76,9.2,69,503,104,20.7,155,242,106,49,1,0,48,26,62,6,1,Matches
156,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,33-057,1988,8.0,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,4,0,Matches
157,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,23-131,1998,0.9,3,1,2,1,0,1,1,100.0,0,7,2,28.6,3,4,0,1,0,0,1,1,4,1,0,Matches
158,Ryan Fraser\Ryan-Fraser,sco SCO,FWMF,Newcastle Utd,27-078,1994,10.3,4,1,3,1,0,0,2,0.0,2,114,19,16.7,18,51,45,8,0,0,8,3,7,3,0,Matches
159,Fred\Fred,br BRA,MF,Manchester Utd,28-069,1993,24.9,82,53,31,41,10,27,79,34.2,52,601,184,30.6,210,289,102,60,8,0,52,47,129,31,0,Matches
160,Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,28-215,1992,6.3,13,6,7,6,0,6,13,46.2,7,65,13,20.0,38,14,13,16,2,0,14,8,21,22,0,Matches
161,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,35-036,1986,7.8,15,9,13,1,1,5,14,35.7,9,87,23,26.4,53,27,7,16,4,1,12,12,27,31,0,Matches
162,Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,25-194,1995,29.6,40,14,23,12,5,15,36,41.7,21,254,68,26.8,117,91,46,73,16,1,57,25,65,109,1,Matches
163,Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,21-096,2000,25.1,72,48,30,34,8,19,85,22.4,66,624,158,25.3,204,310,110,55,6,0,49,33,105,25,0,Matches
164,Eric García\Eric-Garcia,es ESP,DF,Manchester City,20-124,2001,2.4,6,2,4,1,1,2,5,40.0,3,18,5,27.8,12,6,0,2,0,0,2,4,10,8,0,Matches
165,Dwight Gayle\Dwight-Gayle,eng ENG,FWMF,Newcastle Utd,30-208,1990,4.9,5,3,1,4,0,1,4,25.0,3,76,19,25.0,10,30,36,3,2,0,1,1,6,0,0,Matches
166,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,25-230,1995,0.1,1,1,0,1,0,0,1,0.0,1,4,2,50.0,0,1,3,1,0,0,1,0,1,1,0,Matches
167,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,30-187,1990,24.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
168,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FW,Aston Villa,26-010,1995,14.1,13,9,7,4,2,3,14,21.4,11,176,45,25.6,49,66,61,10,0,0,10,5,18,10,0,Matches
169,Kieran Gibbs\Kieran-Gibbs,eng ENG,DF,West Brom,31-229,1989,9.0,14,6,9,3,2,3,7,42.9,4,80,20,25.0,42,30,8,17,6,0,11,14,28,33,0,Matches
170,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,FWMF,Wolves,21-106,2000,2.7,2,2,0,0,2,1,6,16.7,5,45,17,37.8,8,15,22,5,0,0,5,3,5,1,0,Matches
171,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,19-336,2001,2.9,4,1,2,2,0,2,7,28.6,5,68,17,25.0,24,34,10,5,2,0,3,4,8,2,0,Matches
172,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,34-225,1986,8.3,8,4,0,5,3,0,3,0.0,3,131,34,26.0,15,50,66,3,1,0,2,4,12,10,0,Matches
173,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Everton,23-118,1998,25.8,51,27,37,12,2,22,31,71.0,9,313,102,32.6,212,83,18,75,36,1,39,40,91,116,0,Matches
174,André Gomes\Andre-Gomes,pt POR,MF,Everton,27-287,1993,17.0,47,33,22,22,3,19,57,33.3,38,359,115,32.0,120,181,58,28,1,0,27,15,62,9,0,Matches
175,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,23-355,1997,6.6,5,2,2,3,0,0,4,0.0,4,39,15,38.5,24,13,2,7,3,0,4,5,10,32,2,Matches
176,Anthony Gordon\Anthony-Gordon,eng ENG,FWMF,Everton,20-078,2001,1.0,3,2,3,0,0,0,2,0.0,2,18,3,16.7,5,9,4,2,0,0,2,1,4,1,0,Matches
177,Karlan Grant\Karlan-Grant,eng ENG,FWMF,West Brom,23-237,1997,12.3,6,3,3,3,0,3,6,50.0,3,163,40,24.5,23,63,77,7,0,0,7,11,17,13,0,Matches
178,Demarai Gray\Demarai-Gray,eng ENG,FW,Leicester City,24-319,1996,0.2,2,1,2,0,0,0,0,,0,3,1,33.3,2,0,1,0,0,0,0,0,2,0,0,Matches
179,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,25-245,1995,22.0,23,15,5,13,5,3,17,17.6,14,283,92,32.5,72,104,107,25,2,0,23,11,34,4,1,Matches
180,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,19-224,2001,19.0,19,12,8,6,5,4,22,18.2,18,249,69,27.7,51,111,87,6,0,0,6,8,27,3,0,Matches
181,Pascal Groß\Pascal-Gross,de GER,MFDF,Brighton,29-332,1991,24.6,39,22,23,13,3,16,39,41.0,23,363,92,25.3,112,167,84,27,5,0,22,23,62,22,0,Matches
182,Kamil Grosicki\Kamil-Grosicki,pl POL,FWMF,West Brom,32-339,1988,1.6,1,0,1,0,0,1,6,16.7,5,22,3,13.6,11,8,3,1,0,0,1,0,1,2,0,Matches
183,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,34-123,1987,35.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,1,0,Matches
184,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,30-201,1990,20.9,22,16,8,8,6,8,35,22.9,27,196,56,28.6,42,97,57,13,3,0,10,18,40,13,0,Matches
185,Antwoine Hackford\Antwoine-Hackford,eng ENG,DFFW,Sheffield Utd,17-054,2004,0.1,0,0,0,0,0,0,0,,0,3,2,66.7,0,0,3,1,0,0,1,0,0,0,0,Matches
186,Sébastien Haller\Sebastien-Haller,ci CIV,FW,West Ham,26-325,1994,10.4,11,4,1,5,5,4,18,22.2,14,199,42,21.1,12,115,72,4,1,0,3,5,16,7,0,Matches
187,Rekeem Harper\Rekeem-Harper,eng ENG,MF,West Brom,21-066,2000,0.4,2,1,1,1,0,1,1,100.0,0,10,0,0.0,2,7,1,0,0,0,0,0,2,0,0,Matches
188,Jack Harrison\Jack-Harrison,eng ENG,MF,Leeds United,24-174,1996,28.6,62,32,28,21,13,17,45,37.8,28,569,159,27.9,149,200,220,37,2,0,35,25,87,24,0,Matches
189,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,25-301,1995,4.0,4,4,2,2,0,0,0,,0,16,6,37.5,9,6,1,4,2,0,2,3,7,34,0,Matches
190,Kai Havertz\Kai-Havertz,de GER,MFFW,Chelsea,21-336,1999,16.6,19,11,5,11,3,4,23,17.4,19,259,58,22.4,39,126,94,26,2,0,24,11,30,15,1,Matches
191,Isaac Hayden\Isaac-Hayden,eng ENG,MFDF,Newcastle Utd,26-052,1995,21.6,50,34,14,28,8,7,27,25.9,20,407,101,24.8,158,194,55,42,8,0,34,46,96,57,1,Matches
192,Michael Hector\Michael-Hector,jm JAM,DF,Fulham,28-298,1992,2.9,7,5,4,3,0,3,7,42.9,4,28,11,39.3,21,7,0,6,3,1,3,0,7,11,0,Matches
193,Ahmed Hegazi\Ahmed-Hegazi,eg EGY,DF,West Brom,30-108,1991,1.0,0,0,0,0,0,0,0,,0,10,4,40.0,8,2,0,2,0,0,2,0,0,11,0,Matches
194,Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,24-062,1997,10.5,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,0,0,Matches
195,Jordan Henderson\Jordan-Henderson,eng ENG,MFDF,Liverpool,30-330,1990,18.9,19,9,8,7,4,8,29,27.6,21,184,60,32.6,60,85,39,28,4,1,24,29,48,43,1,Matches
196,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Newcastle Utd,29-102,1992,15.7,6,4,3,3,0,2,14,14.3,12,171,47,27.5,40,103,28,23,8,0,15,12,18,28,0,Matches
197,Pablo Hernández\Pablo-Hernandez,es ESP,MF,Leeds United,36-032,1985,4.0,5,2,2,1,2,4,18,22.2,14,68,18,26.5,10,38,20,2,0,0,2,4,9,1,0,Matches
198,Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,28-309,1992,31.6,25,13,9,12,4,12,65,18.5,53,564,126,22.3,108,293,163,31,3,0,28,21,46,4,0,Matches
199,Ki-Jana Hoever\Ki-Jana-Hoever,nl NED,DF,Wolves,19-115,2002,5.4,15,8,12,2,1,7,17,41.2,10,111,24,21.6,67,37,7,6,1,0,5,9,24,14,0,Matches
200,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,25-235,1995,26.4,35,18,24,8,3,9,27,33.3,18,274,83,30.3,163,97,14,49,29,0,20,20,55,149,0,Matches
201,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,24-203,1996,22.9,59,33,35,17,7,20,48,41.7,28,277,85,30.7,140,100,37,49,11,0,38,36,95,101,2,Matches
202,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,30-100,1991,2.5,0,0,0,0,0,0,2,0.0,2,17,6,35.3,4,6,7,3,0,0,3,0,0,2,0,Matches
203,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FWDF,Chelsea,20-187,2000,11.8,24,12,11,7,6,7,18,38.9,11,160,54,33.8,37,71,52,18,1,0,17,10,34,8,0,Matches
204,Niall Huggins\Niall-Huggins,wal WAL,DF,Leeds United,20-146,2000,0.4,0,0,0,0,0,0,2,0.0,2,9,1,11.1,4,3,2,0,0,0,0,0,0,0,0,Matches
205,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Tottenham,25-281,1995,35.0,110,75,53,45,12,57,126,45.2,69,739,213,28.8,299,359,81,55,9,0,46,47,157,79,0,Matches
206,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,31-331,1989,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,0,1,0,0,0,0,0,0,0,0,Matches
207,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,24-222,1996,14.9,11,8,3,5,3,3,14,21.4,11,220,47,21.4,15,115,90,17,3,0,14,4,15,1,0,Matches
208,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,28-294,1992,22.1,24,12,6,15,3,10,30,33.3,20,354,88,24.9,54,148,152,45,2,0,43,7,31,17,2,Matches
209,Branislav Ivanović\Branislav-Ivanovic,rs SRB,DF,West Brom,37-080,1984,8.5,14,5,9,5,0,5,12,41.7,7,83,18,21.7,54,28,1,15,7,0,8,3,17,31,0,Matches
210,Alex Iwobi\Alex-Iwobi,ng NGA,FWDF,Everton,25-010,1996,16.6,32,21,16,14,2,14,27,51.9,13,209,72,34.4,89,66,54,22,1,0,21,17,49,12,0,Matches
211,José Izquierdo\Jose-Izquierdo,co COL,DFMF,Brighton,28-310,1992,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
212,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,38-269,1982,5.8,9,4,5,3,1,5,11,45.5,6,56,17,30.4,40,16,0,15,6,0,9,12,21,46,2,Matches
213,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,27-275,1993,4.0,6,3,0,5,1,2,9,22.2,7,59,19,32.2,7,22,30,6,0,0,6,4,10,0,0,Matches
214,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,23-184,1997,9.1,11,9,3,5,3,1,22,4.5,21,195,42,21.5,37,78,80,12,0,0,12,10,21,3,0,Matches
215,Reece James\Reece-James,eng ENG,DF,Chelsea,21-156,1999,24.4,60,34,34,19,7,19,47,40.4,28,340,88,25.9,154,141,45,56,8,0,48,40,100,44,0,Matches
216,Alexandre Jankewitz\Alexandre-Jankewitz,ch SUI,MF,Southampton,19-139,2001,0.0,2,0,1,1,0,1,1,100.0,0,8,2,25.0,4,4,0,0,0,0,0,0,2,0,0,Matches
217,Daniel Jebbison\Daniel-Jebbison,eng ENG,FW,Sheffield Utd,17-306,2003,0.3,0,0,0,0,0,0,0,,0,4,0,0.0,0,1,3,0,0,0,0,0,0,0,0,Matches
218,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,24-040,1997,21.0,21,12,6,7,8,7,25,28.0,18,307,89,29.0,34,110,163,17,2,0,15,19,40,3,0,Matches
219,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,30-008,1991,9.1,7,4,1,4,2,0,7,0.0,7,90,22,24.4,12,36,42,8,1,0,7,6,13,10,1,Matches
220,Joelinton\Joelinton,br BRA,FWMF,Newcastle Utd,24-272,1996,20.6,42,25,10,25,7,13,37,35.1,24,378,96,25.4,83,190,105,36,4,0,32,20,62,21,0,Matches
221,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,21-109,2000,5.8,9,3,7,0,2,5,9,55.6,4,81,13,16.0,45,22,14,10,2,1,8,11,20,14,0,Matches
222,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,28-049,1993,34.0,0,0,0,0,0,0,0,,0,3,2,66.7,3,0,0,1,0,0,1,0,0,0,1,Matches
223,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,20-103,2001,12.3,20,15,8,7,5,10,23,43.5,13,213,64,30.0,45,102,66,17,0,0,17,16,36,10,1,Matches
224,Jorginho\Jorginho,it ITA,MF,Chelsea,29-144,1991,20.7,53,34,23,24,6,20,67,29.9,47,434,155,35.7,157,221,56,39,5,0,34,48,101,19,1,Matches
225,Willian José\Willian-Jose,br BRA,FW,Wolves,29-171,1991,11.1,1,1,0,0,1,0,4,0.0,4,108,30,27.8,4,59,45,7,1,0,6,3,4,10,0,Matches
226,Diogo Jota\Diogo-Jota,pt POR,FW,Liverpool,24-160,1996,11.5,11,8,3,6,2,3,32,9.4,29,265,67,25.3,52,96,117,9,0,0,9,7,18,4,0,Matches
227,James Justin\James-Justin,eng ENG,DF,Leicester City,23-079,1998,23.0,63,28,41,18,4,17,43,39.5,26,347,110,31.7,183,107,57,54,11,0,43,25,88,64,0,Matches
228,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Liverpool,21-049,2000,8.9,19,10,12,4,3,2,7,28.6,5,103,41,39.8,58,40,5,5,3,0,2,12,31,49,1,Matches
229,Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWDF,Fulham,26-067,1995,3.5,2,2,2,0,0,1,5,20.0,4,71,13,18.3,13,27,31,10,1,0,9,2,4,2,0,Matches
230,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,27-289,1993,31.2,17,11,3,12,2,5,19,26.3,14,364,90,24.7,20,181,163,29,12,1,17,14,31,39,0,Matches
231,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,30-045,1991,23.5,87,57,42,40,5,29,60,48.3,31,478,163,34.1,205,211,62,60,5,0,55,62,149,31,0,Matches
232,Moise Kean\Moise-Kean,it ITA,FW,Everton,21-074,2000,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
233,Michael Keane\Michael-Keane,eng ENG,DF,Everton,28-122,1993,29.2,26,14,18,6,2,9,27,33.3,18,168,54,32.1,110,50,8,64,34,0,30,36,62,175,2,Matches
234,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,29-064,1992,1.3,1,1,1,0,0,1,3,33.3,2,30,9,30.0,4,13,13,5,0,0,5,0,1,1,0,Matches
235,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,26-092,1995,5.8,7,5,4,2,1,2,18,11.1,16,144,37,25.7,18,75,51,11,0,0,11,12,19,6,0,Matches
236,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,22-171,1998,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
237,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,24-059,1997,0.9,1,0,1,0,0,0,1,0.0,1,11,1,9.1,4,4,3,2,0,0,2,1,2,1,0,Matches
238,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,19-313,2001,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,Matches
239,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,23-355,1997,13.6,26,19,20,3,3,10,20,50.0,10,133,41,30.8,95,31,7,15,6,0,9,17,43,53,0,Matches
240,Joshua King\Joshua-King,no NOR,MFFW,Everton,29-118,1992,1.6,4,1,2,0,2,1,1,100.0,0,44,11,25.0,14,17,13,3,0,0,3,1,5,1,0,Matches
241,Mateusz Klich\Mateusz-Klich,pl POL,MF,Leeds United,30-334,1990,25.8,50,41,19,24,7,9,58,15.5,49,552,162,29.3,125,308,119,21,4,0,17,16,66,23,0,Matches
242,Robin Koch\Robin-Koch,de GER,DFMF,Leeds United,24-300,1996,12.6,29,18,16,13,0,12,24,50.0,12,183,48,26.2,91,80,12,31,14,0,17,13,42,40,2,Matches
243,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,27-327,1993,1.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0,Matches
244,Terence Kongolo\Terence-Kongolo,nl NED,DF,Fulham,27-088,1994,1.0,4,4,1,3,0,0,0,,0,14,8,57.1,6,7,1,2,0,0,2,0,4,6,0,Matches
245,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,23-202,1997,31.5,31,19,21,9,1,9,16,56.3,7,202,62,30.7,119,74,9,54,40,0,14,20,51,170,0,Matches
246,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,DF,Crystal Palace,31-143,1989,31.7,62,33,47,13,2,22,40,55.0,18,301,94,31.2,208,78,15,53,24,0,29,35,97,156,2,Matches
247,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,27-007,1994,18.8,48,31,20,23,5,8,30,26.7,22,311,107,34.4,91,155,65,14,1,0,13,21,69,11,1,Matches
248,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,26-284,1994,11.5,23,16,13,9,1,10,23,43.5,13,146,49,33.6,77,52,17,26,8,0,18,15,38,48,1,Matches
249,Filip Krovinović\Filip-Krovinovic,hr CRO,MF,West Brom,25-257,1995,6.1,16,10,6,7,3,5,18,27.8,13,103,22,21.4,36,53,14,5,0,0,5,2,18,6,0,Matches
250,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,29-350,1991,21.2,25,19,6,12,7,4,16,25.0,12,327,106,32.4,40,134,153,17,2,0,15,14,39,13,0,Matches
251,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,33-003,1988,16.5,29,24,14,11,4,8,46,17.4,38,304,97,31.9,99,138,67,25,3,0,22,16,45,13,0,Matches
252,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,29-070,1992,8.0,18,11,1,13,4,4,12,33.3,8,183,49,26.8,31,102,50,8,1,0,7,4,22,1,0,Matches
253,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,20-225,2000,9.8,17,10,9,6,2,7,14,50.0,7,124,41,33.1,49,53,22,15,1,0,14,13,30,17,0,Matches
254,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,28-087,1993,6.3,6,6,2,3,1,2,13,15.4,11,109,37,33.9,33,48,28,15,0,0,15,6,12,5,0,Matches
255,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,26-351,1994,14.9,13,6,10,3,0,3,9,33.3,6,81,24,29.6,48,27,6,18,8,0,10,8,21,53,1,Matches
256,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,27-183,1993,18.1,19,12,11,6,2,4,6,66.7,2,148,53,35.8,89,52,7,39,18,2,21,15,34,108,1,Matches
257,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,31-214,1989,1.4,2,1,2,0,0,1,1,100.0,0,9,2,22.2,6,2,1,0,0,0,0,0,2,7,0,Matches
258,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,27-254,1993,17.9,53,33,25,20,8,15,36,41.7,21,301,99,32.9,115,145,41,28,6,0,22,41,94,35,0,Matches
